"Pos.","No.","Name","Height","Weight","DOB (YYYY-MM-DD)","From"
"G","8","Abrines, Álex","6 ft 6 in (1.98 m)","190 lb (86 kg)","1993–08–01","Spain"
"C","12","Adams, Steven","7 ft 0 in (2.13 m)","255 lb (116 kg)","1993–07–20","Pittsburgh"
"F","7","Anthony, Carmelo","6 ft 8 in (2.03 m)","240 lb (109 kg)","1984–05–29","Syracuse"
"F","4","Collison, Nick","6 ft 10 in (2.08 m)","255 lb (116 kg)","1980–10–26","Kansas"
"G","35","Dozier, P. J. (TW)","6 ft 6 in (1.98 m)","205 lb (93 kg)","1996–10–25","South Carolina"
"G","2","Felton, Raymond","6 ft 1 in (1.85 m)","205 lb (93 kg)","1984–06–26","North Carolina"
"G","23","Ferguson, Terrance","6 ft 7 in (2.01 m)","184 lb (83 kg)","1998–05–17","Advanced Prep International (TX)"
"F","13","George, Paul","6 ft 9 in (2.06 m)","220 lb (100 kg)","1990–05–02","Fresno State"
"F","9","Grant, Jerami","6 ft 9 in (2.06 m)","220 lb (100 kg)","1994–03–12","Syracuse"
"G","25","Hamilton, Daniel (TW)","6 ft 7 in (2.01 m)","195 lb (88 kg)","1995–08–08","Connecticut"
"F","34","Huestis, Josh","6 ft 7 in (2.01 m)","230 lb (104 kg)","1991–12–19","Stanford"
"C","44","Johnson, Dakari","7 ft 0 in (2.13 m)","255 lb (116 kg)","1995–09–22","Kentucky"
"F","54","Patterson, Patrick","6 ft 9 in (2.06 m)","230 lb (104 kg)","1989–03–14","Kentucky"
"G/F","21","Roberson, André","6 ft 7 in (2.01 m)","210 lb (95 kg)","1991–12–04","Colorado"
"F","15","Singler, Kyle","6 ft 8 in (2.03 m)","228 lb (103 kg)","1988–05–04","Duke"
"G","0","Westbrook, Russell (C)","6 ft 3 in (1.91 m)","200 lb (91 kg)","1988–11–12","UCLA"
