"Pos.","No.","Name","Height","Weight","DOB (YYYY-MM-DD)","From"
"G/F","24","Brooks, Dillon","6 ft 6 in (1.98 m)","220 lb (100 kg)","1996–01–22","Oregon"
"G","6","Chalmers, Mario","6 ft 2 in (1.88 m)","190 lb (86 kg)","1986–05–19","Kansas"
"G","11","Conley, Mike (C)","6 ft 1 in (1.85 m)","175 lb (79 kg)","1987–10–11","Ohio State"
"F/C","21","Davis, Deyonta","6 ft 11 in (2.11 m)","237 lb (108 kg)","1996–12–02","Michigan State"
"F","8","Ennis, James","6 ft 7 in (2.01 m)","210 lb (95 kg)","1990–07–01","Long Beach State"
"G/F","12","Evans, Tyreke","6 ft 6 in (1.98 m)","220 lb (100 kg)","1989–09–19","Memphis"
"C","33","Gasol, Marc (C)","7 ft 1 in (2.16 m)","255 lb (116 kg)","1985–01–29","Lausanne CS (TN)"
"F","0","Green, JaMychal","6 ft 9 in (2.06 m)","227 lb (103 kg)","1990–06–21","Alabama"
"G","5","Harrison, Andrew","6 ft 6 in (1.98 m)","213 lb (97 kg)","1994–10–28","Kentucky"
"F","32","Hunter, Vince (TW)","6 ft 8 in (2.03 m)","208 lb (94 kg)","1994–08–05","Texas–El Paso"
"F","1","Martin, Jarell","6 ft 10 in (2.08 m)","239 lb (108 kg)","1994–05–24","LSU"
"G","23","McLemore, Ben (GL)","6 ft 5 in (1.96 m)","195 lb (88 kg)","1993–02–11","Kansas"
"F","25","Parsons, Chandler","6 ft 10 in (2.08 m)","230 lb (104 kg)","1988–10–25","Florida"
"F","10","Rabb, Ivan (GL)","6 ft 10 in (2.08 m)","220 lb (100 kg)","1997–02–04","UC Berkeley"
"G/F","7","Selden, Wayne","6 ft 5 in (1.96 m)","230 lb (104 kg)","1994–09–30","Kansas"
"G","2","Simmons, Kobi (TW)","6 ft 4 in (1.93 m)","170 lb (77 kg)","1997–07–04","Arizona"
"F/C","34","Wright, Brandan","6 ft 10 in (2.08 m)","235 lb (107 kg)","1987–10–05","North Carolina"
