"Pos.","No.","Name","Height","Weight","DOB (YYYY-MM-DD)","From"
"F","3","Anunoby, OG","6 ft 8 in (2.03 m)","235 lb (107 kg)","1997–07–17","Indiana"
"G","4","Brown, Lorenzo (TW/GL)","6 ft 5 in (1.96 m)","189 lb (86 kg)","1990–08–26","North Carolina State"
"F","5","Caboclo, Bruno (GL)","6 ft 9 in (2.06 m)","205 lb (93 kg)","1995–09–21","Brazil"
"G","10","DeRozan, DeMar (C)","6 ft 7 in (2.01 m)","220 lb (100 kg)","1989–08–07","Southern California"
"F","9","Ibaka, Serge","6 ft 10 in (2.08 m)","235 lb (107 kg)","1989–09–18","Spain"
"G","7","Lowry, Kyle (C)","6 ft 0 in (1.83 m)","205 lb (93 kg)","1986–03–25","Villanova"
"F","34","McKinnie, Alfonzo (GL)","6 ft 8 in (2.03 m)","215 lb (98 kg)","1992–09–17","Green Bay"
"G/F","0","Miles, C. J.","6 ft 6 in (1.98 m)","225 lb (102 kg)","1987–03–18","Skyline HS (TX)"
"F","13","Miller, Malcolm  (TW/GL)","6 ft 7 in (2.01 m)","210 lb (95 kg)","1993–03–06","Holy Cross"
"C","92","Nogueira, Lucas","7 ft 0 in (2.13 m)","220 lb (100 kg)","1992–07–26","Brazil"
"F/C","42","Poeltl, Jakob","7 ft 0 in (2.13 m)","230 lb (104 kg)","1995–10–15","Utah"
"G","24","Powell, Norman","6 ft 4 in (1.93 m)","215 lb (98 kg)","1993–05–25","UCLA"
"F","43","Siakam, Pascal","6 ft 9 in (2.06 m)","230 lb (104 kg)","1994–02–04","New Mexico State"
"C","17","Valančiūnas, Jonas","7 ft 0 in (2.13 m)","255 lb (116 kg)","1992–05–06","Lithuania"
"G","23","VanVleet, Fred","6 ft 0 in (1.83 m)","195 lb (88 kg)","1994–02–25","Wichita State"
"G","55","Wright, Delon","6 ft 5 in (1.96 m)","190 lb (86 kg)","1992–04–26","Utah"
