"Pos.","No.","Name","Height","Weight","DOB (YYYY-MM-DD)","From"
"G","2","Ball, Lonzo","6 ft 6 in (1.98 m)","190 lb (86 kg)","1997–10–27","UCLA"
"G","17","Blue, Vander (TW)","6 ft 5 in (1.96 m)","200 lb (91 kg)","1992–07–17","Marquette"
"C","66","Bogut, Andrew","7 ft 0 in (2.13 m)","260 lb (118 kg)","1984–11–28","Utah"
"G/F","3","Brewer, Corey","6 ft 9 in (2.06 m)","186 lb (84 kg)","1986–03–05","Florida"
"C","31","Bryant, Thomas (GL)","6 ft 10 in (2.08 m)","248 lb (112 kg)","1997–07–31","Indiana"
"G","1","Caldwell-Pope, Kentavious","6 ft 5 in (1.96 m)","205 lb (93 kg)","1993–02–18","Georgia"
"G","4","Caruso, Alex (TW)","6 ft 5 in (1.96 m)","186 lb (84 kg)","1994–02–28","Texas A&M"
"G","6","Clarkson, Jordan","6 ft 5 in (1.96 m)","194 lb (88 kg)","1992–06–07","Missouri"
"F","9","Deng, Luol","6 ft 9 in (2.06 m)","220 lb (100 kg)","1985–03–16","Duke"
"G","10","Ennis, Tyler","6 ft 3 in (1.91 m)","194 lb (88 kg)","1994–08–24","Syracuse"
"G","5","Hart, Josh","6 ft 5 in (1.96 m)","215 lb (98 kg)","1995–03–06","Villanova"
"F","14","Ingram, Brandon (C)","6 ft 9 in (2.06 m)","190 lb (86 kg)","1997–09–02","Duke"
"F","0","Kuzma, Kyle","6 ft 9 in (2.06 m)","220 lb (100 kg)","1995–07–24","Utah"
"C","11","Lopez, Brook","7 ft 0 in (2.13 m)","268 lb (122 kg)","1988–04–01","Stanford"
"F","7","Nance, Larry","6 ft 9 in (2.06 m)","230 lb (104 kg)","1993–01–01","Wyoming"
"F","30","Randle, Julius","6 ft 9 in (2.06 m)","250 lb (113 kg)","1994–11–29","Kentucky"
"C","40","Zubac, Ivica","7 ft 1 in (2.16 m)","240 lb (109 kg)","1997–03–18","Croatia"
