"Pos.","No.","Name","Height","Weight","DOB (YYYY-MM-DD)","From"
"G","3","Beal, Bradley (C)","6 ft 5 in (1.96 m)","207 lb (94 kg)","1993–06–28","Florida"
"G","8","Frazier, Tim","6 ft 1 in (1.85 m)","170 lb (77 kg)","1990–11–01","Penn State"
"C","13","Gortat, Marcin","6 ft 11 in (2.11 m)","240 lb (109 kg)","1984–02–17","Poland"
"G/F","9","Mac, Sheldon","6 ft 6 in (1.98 m)","200 lb (91 kg)","1992–12–21","Miami (FL)"
"C","28","Mahinmi, Ian","6 ft 11 in (2.11 m)","262 lb (119 kg)","1986–11–05","France"
"F","1","McCullough, Chris","6 ft 9 in (2.06 m)","215 lb (98 kg)","1995–02–05","Syracuse"
"G","20","Meeks, Jodie","6 ft 4 in (1.93 m)","210 lb (95 kg)","1987–08–21","Kentucky"
"F","5","Morris, Markieff","6 ft 10 in (2.08 m)","245 lb (111 kg)","1989–09–02","Kansas"
"F","12","Oubre, Kelly","6 ft 7 in (2.01 m)","205 lb (93 kg)","1995–12–09","Kansas"
"F","22","Porter, Otto","6 ft 8 in (2.03 m)","198 lb (90 kg)","1993–06–03","Georgetown"
"F","7","Robinson, Devin (TW)","6 ft 8 in (2.03 m)","200 lb (91 kg)","1995–03–07","Florida"
"G/F","31","Satoranský, Tomáš","6 ft 7 in (2.01 m)","210 lb (95 kg)","1991–10–30","Czech Republic"
"F","30","Scott, Mike","6 ft 8 in (2.03 m)","237 lb (108 kg)","1988–07–16","Virginia"
"F/C","14","Smith, Jason","7 ft 0 in (2.13 m)","240 lb (109 kg)","1986–03–02","Colorado State"
"G","2","Wall, John (C)","6 ft 4 in (1.93 m)","210 lb (95 kg)","1990–09–06","Kentucky"
"F","4","Young, Michael (TW)","6 ft 9 in (2.06 m)","235 lb (107 kg)","1994–09–05","Pittsburgh"
